1931-09-01,"		108",20,7.7,31.4
1931-10-01,"		108",11.9,-3,27.7
1931-11-01,"		108",7.7,-7.1,20.2
1931-12-01,"		108",-1,-14.7,12.7
1932-01-01,"		108",-0.6,-12.9,14.4
1932-02-01,"		108",-1.4,-14.1,9.3
1932-03-01,"		108",2.8,-7.8,16.5
1932-04-01,"		108",9.9,-0.4,22.2
1932-05-01,"		108",17,7,33.5
1932-06-01,"		108",21.7,12.4,32.1
1932-07-01,"		108",25.9,18.8,36.3
1932-08-01,"		108",25.6,17.8,37.2
1932-09-01,"		108",20.2,12.6,29.5
1932-10-01,"		108",12.2,0.3,26.5
1932-11-01,"		108",5.8,-6.5,22.5
1932-12-01,"		108",0.6,-11.4,12.5
1933-01-01,"		108",-6.4,-18.4,6.1
1933-02-01,"		108",-3.7,-14.2,6.6
1933-03-01,"		108",0.6,-12.8,12.5
1933-04-01,"		108",10.2,-0.5,25.5
1933-05-01,"		108",16.3,4,29
1933-06-01,"		108",20.7,10.6,31.3
1933-07-01,"		108",25.5,19.1,35.9
1933-08-01,"		108",24.1,18,32.5
1933-09-01,"		108",20.1,6.5,30.2
1933-10-01,"		108",13,1.4,25.8
1933-11-01,"		108",5.5,-5,16.3
1933-12-01,"		108",0.4,-10.5,12.7
1934-01-01,"		108",-8.3,-18.7,2.8
1934-02-01,"		108",-2.3,-12.2,5.7
1934-03-01,"		108",2,-9.1,16.3
1934-04-01,"		108",9.1,-1.5,24.8
1934-05-01,"		108",16.9,4.2,28.6
1934-06-01,"		108",20.2,11.5,31.9
1934-07-01,"		108",23.8,18,31.7
1934-08-01,"		108",24.1,16,33.4
1934-09-01,"		108",19.3,9.5,29
1934-10-01,"		108",11.7,-0.8,23.3
1934-11-01,"		108",4.3,-9.2,14.5
1934-12-01,"		108",0.8,-8.7,9.5
1935-01-01,"		108",-3.2,-13.1,9
1935-02-01,"		108",-0.2,-14.9,16
1935-03-01,"		108",5.1,-4,19.1
1935-04-01,"		108",10.3,-0.9,24.7
1935-05-01,"		108",16,4.1,30.1
1935-06-01,"		108",20.1,12.4,29.8
1935-07-01,"		108",23.8,17.3,32.6
1935-08-01,"		108",25,16.1,33.5
1935-09-01,"		108",20.3,6.1,33
1935-10-01,"		108",14.6,3.3,25.4
1935-11-01,"		108",6.6,-6,20.2
1935-12-01,"		108",-3.9,-16.9,12.5
1936-01-01,"		108",-8.8,-20.1,3.1
1936-02-01,"		108",-4.4,-17.5,9.2
1936-03-01,"		108",-0.2,-13.7,12
1936-04-01,"		108",9.1,-2,22.5
1936-05-01,"		108",15.8,6.4,27.4
1936-06-01,"		108",20.7,9.9,32.1
1936-07-01,"		108",23.6,15.6,34.3
1936-08-01,"		108",22.7,16.8,30.7
1936-09-01,"		108",20.1,10,29.7
1936-10-01,"		108",13.2,0.8,24.7
1936-11-01,"		108",5.7,-7.7,17.4
1936-12-01,"		108",-0.5,-9.3,14.6
1937-01-01,"		108",-3.6,-13.2,9.8
1937-02-01,"		108",0.1,-11.7,11
1937-03-01,"		108",3.6,-5.3,18.8
1937-04-01,"		108",10.6,-0.7,26.4
1937-05-01,"		108",15.8,6.8,26.2
1937-06-01,"		108",21.6,11.4,32.5
1937-07-01,"		108",24.6,16.6,34.4
1937-08-01,"		108",26.7,18.5,35.1
1937-09-01,"		108",20.3,7.3,29.8
1937-10-01,"		108",13.8,-0.5,26.9
1937-11-01,"		108",7.2,-6,22.1
1937-12-01,"		108",-3.9,-16,11.1
1938-01-01,"		108",-6.3,-19,6.3
1938-02-01,"		108",-3.3,-14.3,14.7
1938-03-01,"		108",4.7,-6,19
1938-04-01,"		108",11.4,0.2,27.3
1938-05-01,"		108",16.5,6.8,30.4
1938-06-01,"		108",20,13.2,32.2
1938-07-01,"		108",25.2,18.2,34.7
1938-08-01,"		108",26.3,19.5,35.6
1938-09-01,"		108",19.3,9.5,32.1
1938-10-01,"		108",15,3.7,27.8
1938-11-01,"		108",4.8,-6.5,19.5
1938-12-01,"		108",-2.3,-15.7,11.8
1939-01-01,"		108",-5.2,-19.6,5.4
1939-02-01,"		108",-2,-16,10.1
1939-03-01,"		108",4.1,-5.2,17.9
1939-04-01,"		108",11.6,-2.7,25.7
1939-05-01,"		108",15.7,5.1,29.6
1939-06-01,"		108",20.8,12,33.3
1939-07-01,"		108",27.6,17.6,37.7
1939-08-01,"		108",27.5,19.4,38.2
1939-09-01,"		108",21,5.7,35.1
1939-10-01,"		108",14.3,-1.6,29.3
1939-11-01,"		108",5.9,-10.2,20.2
1939-12-01,"		108",-0.9,-13.6,8.6
1940-01-01,"		108",-7.4,-17.7,7
1940-02-01,"		108",-2.3,-13.9,9.2
1940-03-01,"		108",3.7,-7.7,18.2
1940-04-01,"		108",9.7,-0.7,24.1
1940-05-01,"		108",16.3,3.3,30
1940-06-01,"		108",20.1,10.2,32.5
1940-07-01,"		108",23.4,17.6,33.9
1940-08-01,"		108",24.3,13.5,34.3
1940-09-01,"		108",19.9,9.3,30.2
1940-10-01,"		108",14.7,0.2,28.5
1940-11-01,"		108",6.8,-5.5,25.2
1940-12-01,"		108",-0.2,-10.6,11.8
1941-01-01,"		108",-3.8,-20.4,12.3
1941-02-01,"		108",-2.4,-18.2,10.9
1941-03-01,"		108",3.8,-13,19.3
1941-04-01,"		108",10,-0.9,23.2
1941-05-01,"		108",16.7,6.2,29.2
1941-06-01,"		108",21.2,13.5,32.7
1941-07-01,"		108",23.7,14.6,34.3
1941-08-01,"		108",23.8,16.1,33.6
1941-09-01,"		108",19.7,10.7,31.1
1941-10-01,"		108",12.9,-1.6,26.9
1941-11-01,"		108",7.7,-8.8,19.6
1941-12-01,"		108",0.4,-13.6,11.4
1942-01-01,"		108",-6.4,-17.9,4.5
1942-02-01,"		108",-3.5,-16.7,11.3
1942-03-01,"		108",5.9,-4.7,18.7
1942-04-01,"		108",9.9,-1.4,26.2
1942-05-01,"		108",15.3,4.1,30.5
1942-06-01,"		108",22,11.3,34.7
1942-07-01,"		108",26,18.2,36
1942-08-01,"		108",25.4,17.6,34.5
1942-09-01,"		108",20,8.1,32.7
1942-10-01,"		108",12.5,-5.1,27.5
1942-11-01,"		108",4.7,-11.1,21.3
1942-12-01,"		108",-1.2,-15.4,11
1943-01-01,"		108",-6.6,-18.6,11.5
1943-02-01,"		108",-2.4,-15.5,10.8
1943-03-01,"		108",5.4,-4.9,17.5
1943-04-01,"		108",10.6,-1.9,28
1943-05-01,"		108",16.7,8.9,27.3
1943-06-01,"		108",21.5,11.2,34.2
