시군구명,line,역명,lat,lng
도봉구,01호선,도봉,37.679563,127.045595
도봉구,01호선,도봉산,37.689313,127.046222
도봉구,04호선,쌍문,37.648627,127.034709
동대문구,01호선,회기,37.58946,127.057583
동대문구,01호선,외대앞,37.596073,127.063549
동대문구,01호선,신이문,37.601854,127.067325
동대문구,01호선,신설동,37.575297,127.025087
동대문구,01호선,제기동,37.578103,127.034893
동대문구,01호선,청량리,37.580178,127.046835
동대문구,02호선,용두,37.574028,127.038091
동대문구,05호선,장한평,37.56144,127.064623
동작구,01호선,노량진,37.514219,126.942454
동작구,02호선,사당,37.47653,126.981685
동작구,04호선,동작,37.502971,126.979306
동작구,04호선,총신대입구,37.486263,126.981989
동작구,07호선,이수,37.486263,126.981989
동작구,07호선,남성,37.484596,126.971251
동작구,07호선,숭실대입구,37.496029,126.953822
동작구,07호선,상도,37.502834,126.94791
동작구,07호선,장승배기,37.504898,126.93915
동작구,07호선,신대방삼거리,37.499701,126.928276
동작구,09호선,흑석,37.50877,126.963708
동작구,09호선,노들,37.512887,126.953222
마포구,02호선,합정,37.549463,126.913739
마포구,02호선,홍대입구,37.557192,126.925381
마포구,02호선,이대,37.556733,126.946013
마포구,02호선,아현,37.557345,126.956141
마포구,05호선,애오개,37.553736,126.95682
마포구,05호선,마포,37.539574,126.945932
마포구,05호선,공덕,37.544018,126.951592
마포구,06호선,망원,37.556094,126.910052
마포구,06호선,상수,37.547716,126.922852
마포구,06호선,광흥창,37.547456,126.931993
마포구,06호선,대흥,37.547771,126.942069
마포구,06호선,디지털미디어시티,37.576646,126.900984
마포구,06호선,월드컵경기장,37.569532,126.899298
마포구,06호선,마포구청,37.563515,126.903343
마포구,경의선,서강대,37.551881,126.935711
서대문구,02호선,신촌,37.555134,126.936893
서대문구,02호선,충정로,37.559973,126.963672
서대문구,03호선,홍제,37.589066,126.943736
서대문구,03호선,무악재,37.582299,126.950291
서대문구,05호선,서대문,37.565773,126.966641
서대문구,경의선,가좌,37.568491,126.915487
서초구,02호선,교대,37.493415,127.01408
서초구,02호선,방배,37.481426,126.997596
서초구,02호선,서초,37.491897,127.007917
서초구,03호선,양재,37.484147,127.034631
서초구,03호선,잠원,37.512759,127.01122
서초구,03호선,고속터미널,37.50481,127.004943
서초구,03호선,남부터미널,37.485013,127.016189
서초구,04호선,남태령,37.463873,126.989134
서초구,07호선,반포,37.508178,127.011727
서초구,07호선,내방,37.487618,126.993513
서초구,09호선,구반포,37.501364,126.987332
서초구,09호선,신반포,37.503415,126.995925
서초구,09호선,사평,37.504206,127.015259
성동구,02호선,용답,37.561904,127.050899
성동구,02호선,한양대,37.555273,127.043655
성동구,02호선,뚝섬,37.547184,127.047367
성동구,02호선,성수,37.544581,127.055961
성동구,02호선,신답,37.57004,127.046481
성동구,02호선,왕십리,37.561533,127.037732
성동구,02호선,상왕십리,37.564354,127.029354
성동구,03호선,금호,37.548034,127.015872
성동구,03호선,옥수,37.540685,127.017965
성동구,05호선,신금호,37.554548,127.020331
성동구,05호선,행당,37.557322,127.029476
성동구,05호선,마장,37.5661,127.042973
성동구,05호선,답십리,37.566747,127.052704
성동구,경의선,응봉,37.549946,127.034538
성동구,분당선,서울숲,37.543617,127.044707
성북구,04호선,길음,37.603407,127.025053
성북구,04호선,성신여대입구,37.592624,127.016403
성북구,04호선,한성대입구,37.588458,127.006221
성북구,06호선,보문,37.585286,127.019381
성북구,06호선,안암,37.586272,127.029005
성북구,06호선,고려대,37.590508,127.036296
성북구,06호선,월곡,37.601948,127.041518
성북구,06호선,상월곡,37.606377,127.048491
성북구,06호선,돌곶이,37.610537,127.056431
성북구,우이신설경전철,북한산보국문,37.612343,127.008009
성북구,우이신설경전철,정릉,37.602798,127.01349
송파구,02호선,잠실나루,37.520733,127.10379
송파구,02호선,잠실,37.51395,127.102234
송파구,02호선,잠실새내,37.511687,127.086162
송파구,02호선,종합운동장,37.510997,127.073642
송파구,03호선,가락시장,37.492522,127.118234
송파구,03호선,경찰병원,37.495918,127.12454
송파구,03호선,오금,37.502162,127.128111
송파구,05호선,올림픽공원,37.516078,127.130848
송파구,05호선,방이,37.508857,127.126133
송파구,05호선,개롱,37.498079,127.13482
송파구,05호선,거여,37.493105,127.14415
송파구,05호선,마천,37.49499,127.152781
송파구,08호선,강동구청,37.530341,127.120508
송파구,08호선,몽촌토성,37.517409,127.112359
송파구,08호선,석촌,37.505431,127.106979
송파구,08호선,송파,37.499703,127.112183
송파구,08호선,문정,37.485855,127.1225
송파구,08호선,장지,37.478703,127.126191
송파구,08호선,복정,37.470047,127.126662
송파구,09호선,석촌고분,37.50233,127.097085
송파구,09호선,송파나루,37.51025675,127.1122328
송파구,09호선,한성백제,37.51642791,127.1162471
송파구,09호선,둔촌오륜,37.51930449,127.1386428
송파구,09호선,삼전,37.50470423,127.0877678
양천구,02호선,신정네거리,37.520074,126.852912
양천구,02호선,양천구청,37.512398,126.865819
양천구,05호선,신정,37.524997,126.856191
양천구,05호선,목동,37.526065,126.864931
양천구,05호선,오목교,37.524496,126.875181
양천구,09호선,등촌,37.550632,126.865689
양천구,09호선,신목동,37.544277,126.88308
영등포구,01호선,대방,37.513342,126.926382
영등포구,01호선,영등포,37.515504,126.907628
영등포구,01호선,신길,37.517122,126.917169
영등포구,02호선,문래,37.517933,126.89476
영등포구,02호선,영등포구청,37.52497,126.895951
영등포구,02호선,당산,37.53438,126.902281
영등포구,05호선,영등포시장,37.522669,126.905139
영등포구,05호선,여의도,37.521624,126.924191
영등포구,05호선,여의나루,37.527098,126.932901
영등포구,07호선,보라매,37.499872,126.920428
영등포구,07호선,신풍,37.50008,126.90993
영등포구,09호선,선유도,37.53802,126.893525
영등포구,09호선,샛강,37.517274,126.928422
영등포구,09호선,국회의사당,37.528105,126.917874
용산구,01호선,남영,37.541021,126.9713
용산구,01호선,용산,37.529849,126.964561
용산구,04호선,숙대입구,37.54456,126.972106
용산구,04호선,삼각지,37.534777,126.97311
용산구,04호선,신용산,37.52917,126.967894
용산구,04호선,이촌,37.522272,126.974345
용산구,06호선,효창공원앞,37.539261,126.961351
용산구,06호선,녹사평,37.534675,126.986695
용산구,06호선,이태원,37.534488,126.994302
용산구,06호선,한강진,37.539631,127.001725
용산구,경의선,서빙고,37.519594,126.988537
용산구,경의선,한남,37.52943,127.009169
은평구,03호선,구파발,37.636763,126.918821
은평구,03호선,연신내,37.619001,126.921008
은평구,03호선,불광,37.610469,126.929887
은평구,03호선,녹번,37.600927,126.935756
은평구,06호선,응암,37.598605,126.915577
은평구,06호선,역촌,37.606021,126.922744
은평구,06호선,독바위,37.618456,126.933031
은평구,06호선,구산,37.611377,126.91727
은평구,06호선,새절,37.591148,126.913629
은평구,06호선,증산,37.583876,126.909645
은평구,경의선,수색,37.580842,126.895611
종로구,01호선,종로3가,37.571607,126.991806
종로구,01호선,종로5가,37.570926,127.001849
종로구,01호선,동대문,37.57142,127.009745
종로구,01호선,동묘앞,37.572627,127.016429
종로구,01호선,종각,37.570161,126.982923
종로구,03호선,경복궁,37.575762,126.97353
종로구,03호선,안국,37.576477,126.985443
종로구,03호선,독립문,37.574571,126.957748
종로구,04호선,혜화,37.582336,127.001844
종로구,05호선,광화문,37.571026,126.976669
종로구,06호선,창신,37.579661,127.015241
중구,01호선,서울,37.554648,126.972559
중구,01호선,시청,37.564718,126.977108
